var_id	tag	cdx_name	array	notes
0x035E	MEN	CALEnable	g5	2 opts mask=0x00000003
0x035F	CMM	CalManufacturingMode	g5	2 opts mask=0x00000003
0x0360	CST	CALStatus	g5	7 opts mask=0x0000007f
0x0361	ZCC		g5	6 opts mask=0x0000003f
0x0362	ZSD		g5	2 opts mask=0x00000003
0x0363	ZCU		g5	2 opts mask=0x00000003
0x0364	CDT		g5	2 opts mask=0x00000003
0x0365	CCA	CareCheckInAvailable	g5	2 opts mask=0x00000003
0x0366	CCT		g5	5 opts mask=0x00000002
0x0367	SCP		g5	3 opts mask=0x00000007
0x0368	CDM	DataMode	g5	2 opts mask=0x00000003
0x0369	CDR		g5	2 opts mask=0x00000003
0x036A	ZHA		g5	2 opts mask=0x00000003
0x036B	CCO	ClimateControl	g5	2 opts mask=0x00000003
0x036C	CRA		g5	3 opts mask=0x00000007
0x036D	CFC	ClinicalConfirmation	g5	2 opts mask=0x00000003
0x036E	CNM		g5	9 opts mask=0x000001ff
0x036F	CMT		g5	3 opts mask=0x00000007
0x0370	SCF	ConfirmStopEnable	g5	INACT; 2 opts mask=0x00000000
0x0371	C11	Cpap-TriggerSensitivity	g5	INACT; 7 opts mask=0x00000000; modes=CPAP
0x0372	C12		g5	INACT; 7 opts mask=0x00000000
0x0373	CSR		g5	3 opts mask=0x00000007
0x0374	PTD		g5	5 opts mask=0x0000001f
0x0375	CPS		g5	2 opts mask=0x00000001
0x0376	SSY	CycleDisplayFormat	g5	2 opts mask=0x00000003
0x0377	DLS		g5	2 opts mask=0x00000003
